Species,All Traits, , ,Without N/As,,,N/A Percentage
 ,Precision,Recall,F1-Score,Precision,Recall,F1-Score, 
Eugenia nigerina,0.8569915254237288,0.7022202220222022,0.7377690802348336,0.890625,0.8333333333333333,0.8566308243727598,0.391304347826087
Euphorbia balsamifera,0.7631975867269984,0.6570657065706571,0.6803669724770642,0.8048642533936652,0.8048642533936652,0.8048642533936652,0.43478260869565216
Euphorbia kamerunica,0.72264631043257,0.5274036955840902,0.4947209653092006,0.7424242424242424,0.7,0.7142857142857144,0.9130434782608695
Euphorbia paganorum,0.7333333333333334,0.5822110867522706,0.5885964912280702,0.7675438596491229,0.731060606060606,0.7459459459459459,0.6521739130434783
Euphorbia poissoni,0.746606334841629,0.6610837438423645,0.6850763807285547,0.7542986425339366,0.7266129032258064,0.738242179187061,0.34782608695652173
Euphorbia sudanica,0.8135964912280702,0.7348111658456487,0.762743453545802,0.8327464788732395,0.8214285714285714,0.8268465663380038,0.30434782608695654
Euphorbia tirucalli,0.7968828557063852,0.6771677167716772,0.7049541284403669,0.8129084967320261,0.7523056653491436,0.7742753623188406,0.34782608695652173
Fadogia erythrophloea,0.7341954022988506,0.6411255411255412,0.6589732338745063,0.7377450980392157,0.6908196721311475,0.7054263565891472,0.34782608695652173
Faidherbia albida,0.6872605363984674,0.6224553711243345,0.6378715869909608,0.7073552425665102,0.6920289855072463,0.6988721804511278,0.34782608695652173
Feretia apodanthera,0.8254385964912281,0.7226222622262226,0.7530495831505046,0.8466666666666667,0.8051643192488263,0.8225404732254047,0.30434782608695654
Ficus abutilifolia,0.8295406658238517,0.73,0.7597951344430217,0.8492063492063492,0.8208333333333333,0.8330623306233063,0.30434782608695654
Ficus asperifolia,0.737620103473762,0.5867746288798921,0.5820183486238532,0.7658102766798419,0.6977941176470588,0.7159468438538206,0.5652173913043478
Ficus capreifolia,0.7631975867269984,0.6570657065706571,0.6803669724770642,0.7722960151802657,0.7288676236044657,0.7446670976082741,0.34782608695652173
Ficus cordata ssp. lecardii,0.7111959287531806,0.5244117647058824,0.48262548262548266,0.7857142857142857,0.725,0.7491289198606272,0.8695652173913043
Ficus dicranostyla,0.8369047619047618,0.6664705882352941,0.6954545454545455,0.8777239709443099,0.8151515151515152,0.8399122807017545,0.43478260869565216
Ficus exasperata,0.8390804597701149,0.7124212421242124,0.74573055028463,0.8574561403508771,0.7910714285714286,0.8160469667318982,0.30434782608695654
Ficus glumosa,0.8533501896333755,0.741991341991342,0.7742587601078167,0.8611556982343499,0.78125,0.8085624782457361,0.17391304347826086
Ficus ingens,0.8053571428571429,0.6571691176470589,0.6850763807285547,0.8238916256157636,0.7611717974180735,0.7837837837837838,0.4782608695652174
Ficus natalensis,0.8627105366235801,0.7624716553287982,0.7935285053929122,0.8643600734843846,0.8098958333333333,0.8292103424178896,0.2608695652173913
Ficus ovata,0.7308743169398907,0.6014101410141014,0.6127553562531141,0.7635658914728682,0.7369337979094077,0.7481684981684982,0.6086956521739131
Ficus platyphylla,0.8364669016842929,0.7434807256235827,0.7717946638553239,0.8487577639751553,0.8085164835164835,0.8244008714596951,0.2608695652173913
Ficus polita,0.8113026819923372,0.6991421568627452,0.7295412844036697,0.8246031746031746,0.7735785953177258,0.7933152664859981,0.34782608695652173
Ficus sur,0.7733050847457628,0.6462585034013605,0.665954415954416,0.78125,0.7142857142857143,0.7333333333333333,0.34782608695652173
Ficus sycomorus ssp. gnaphalocarpa,0.762010347376201,0.6063606360636064,0.6193181818181818,0.8259005145797599,0.8044871794871795,0.8144927536231884,0.5217391304347826
Ficus thonningii,0.7916666666666667,0.6955882352941176,0.7217030114226376,0.8194444444444444,0.7999254843517138,0.8087557603686635,0.391304347826087
Ficus trichopoda,0.8321678321678322,0.6567656765676567,0.6850763807285546,0.8830769230769231,0.8458333333333333,0.8622448979591837,0.5217391304347826
Ficus umbellata,0.8155949741315596,0.6308210784313726,0.6537467700258397,0.8570075757575758,0.7992063492063493,0.8223655913978496,0.5217391304347826
Ficus vallis-choudae,0.904,0.6363636363636364,0.661188369152971,0.9428571428571428,0.8461538461538461,0.8787878787878787,0.6521739130434783
Ficus vogelii,0.7766393442622951,0.6215121512151215,0.6394618834080718,0.7880434782608696,0.7281205164992827,0.7471264367816093,0.5652173913043478
Flacourtia indica,0.8491228070175438,0.7087595069499082,0.7346954937831631,0.8584507042253522,0.7736559139784946,0.7956892680736416,0.30434782608695654
Flueggea virosa,0.6759259259259259,0.6622331691297209,0.6682885189927443,0.6867088607594937,0.703340402969247,0.693877551020408,0.21739130434782608
Garcinia livingstonei,0.702517162471396,0.6385844033823991,0.6557798165137614,0.725187969924812,0.7170289855072465,0.7209002029145914,0.391304347826087
Garcinia ovalifolia,0.8739406779661016,0.731855500821018,0.77299451918286,0.9147727272727273,0.8963800904977375,0.9051584547767754,0.391304347826087
Gardenia aqualla,0.7817796610169492,0.6564705882352941,0.6803669724770642,0.8194444444444444,0.7948717948717949,0.8057713651498335,0.5217391304347826
Gardenia erubescens,0.8156130268199233,0.7063889758847479,0.7377690802348336,0.8324372759856631,0.7994350282485876,0.8135198135198136,0.391304347826087
Gardenia sokotensis,0.7854418308963764,0.6320588235294118,0.6516799845961299,0.8131868131868132,0.7483660130718954,0.7711787760024118,0.5217391304347826
Gardenia ternifolia,0.8754385964912281,0.747041847041847,0.7826717883055911,0.9058823529411765,0.859375,0.8787878787878789,0.391304347826087
Gliricidia sepium,0.8391151332327802,0.7112433448167867,0.7462121212121211,0.859816653934301,0.7973484848484849,0.8220616072965066,0.30434782608695654
Gmelina arborea,0.7461035696329814,0.6363889662858735,0.6521287642782969,0.7559262510974539,0.6976271186440678,0.7142857142857142,0.34782608695652173
Grewia barteri,0.8914728682170543,0.5757575757575758,0.5707093821510297,0.984375,0.9166666666666667,0.9466089466089466,0.782608695652174
Grewia bicolor,0.8400758533501895,0.7212171052631579,0.7500608223177357,0.8630952380952381,0.7906079854809438,0.8162500000000001,0.21739130434782608
Grewia cissoides,0.875,0.5285714285714286,0.4826254826254826,0.9090909090909092,0.75,0.7833333333333333,0.9130434782608695
Grewia flavescens,0.8060064935064934,0.7176046176046176,0.7437432443668412,0.8253880266075388,0.7823472823472823,0.7997689641894494,0.21739130434782608
Grewia lasiodiscus,0.8224043715846995,0.6416141614161416,0.6661684105630293,0.857843137254902,0.7912234042553192,0.8163265306122449,0.5217391304347826
Grewia tenax,0.7705938697318008,0.6661764705882353,0.6898148148148149,0.8200152207001522,0.8073830409356726,0.8134203168685927,0.30434782608695654
Grewia venusta,0.8816793893129771,0.5441176470588235,0.513981513981514,0.9523809523809523,0.8,0.85,0.8695652173913043
Grewia villosa,0.8410714285714285,0.671917191719172,0.7032829498411475,0.8642857142857143,0.7698412698412698,0.8015037593984963,0.391304347826087
Guibourtia copallifera,0.64453125,0.5355769230769231,0.5186781609195402,0.6759259259259259,0.6565934065934066,0.6647314949201741,0.7391304347826086
Guiera senegalensis,0.6870967741935483,0.5682352941176471,0.5649350649350648,0.7411764705882353,0.7091836734693877,0.7227272727272727,0.5652173913043478
Gymnema sylvestre,0.8410714285714285,0.671917191719172,0.7032829498411475,0.9031476997578692,0.8827586206896552,0.8924255820807545,0.4782608695652174
Gyrocarpus americanus ssp. pinnatilobus,0.8837209302325582,0.5714285714285714,0.5592105263157895,0.9827586206896552,0.9166666666666667,0.9457735247208932,0.782608695652174
Haematostaphis barteri,0.5330645161290323,0.5125612745098039,0.49178255372945634,0.5413043478260869,0.5339892665474061,0.5349291646311676,0.5652173913043478
Hannoa undulata,0.6914728682170542,0.5386783589101158,0.5186781609195402,0.7583333333333333,0.7583333333333333,0.7583333333333333,0.782608695652174
Harungana madagascariensis,0.8951612903225806,0.6388888888888888,0.6588327457892675,0.9571428571428571,0.8846153846153846,0.9123945489941597,0.6521739130434783
Hexalobus monopetalus,0.828327922077922,0.7592948717948718,0.7852564102564101,0.8671328671328671,0.89375,0.8794454490657022,0.2608695652173913
Holarrhena floribunda,0.8535014005602242,0.6933210784313726,0.7290844324636565,0.9010752688172043,0.865686274509804,0.8816598360655739,0.43478260869565216
